ADHI_ID,Mean_q,Std_q,Mini_q,Maxi_q,Jan_q,Feb_q,Mar_q,Apr_q,May_q,Jun_q,Jul_q,Aug_q,Sep_q,Oct_q,Nov_q,Dec_q,q5th,q10th,q25th,q50th,q75th,q90th,q95th,q99th,BFI_LH,BFI_UKIH,BaseflowR,BaseflowM_LH,BaseflowM_UKIH,CoV,HFD_mean,HFI_mean,AC1,AC7,FDC_slop,PeakDistri,FlashI,MRC_num,Q_skew,Q_var,RLD,VariI,Freq_0
ADHI_1,26.51,23.11,1.97,218,10.84,7.67,5.46,7.72,14.65,20.78,40.18,54.84,64.48,46.94,25.79,15.41,4.48,5.46,8.96,18.1,39.09,58.59,71.51,98.45,0.73,0.82,0.02,45.01,50.38,0.87,156.71,80.94,0.97,0.84,-2.85,-1.79,0.08,2,1.63,534.25,0.42,0.35,0
ADHI_2,213.48,163.25,16.5,904,141.65,93.76,84.99,101.61,134.79,162.31,164.2,196.33,354.81,475.21,429.01,218.69,48.24,62.5,100,163,274,443.8,575.65,757.13,0.75,0.9,0.02,308.5,396.69,0.76,177.75,94.56,1,0.94,-1.85,-2.53,0.03,1,1.55,26649.83,0.19,0.27,0
ADHI_3,212.57,159.95,5.98,736,97.66,64.67,76.76,141.78,202.81,227.73,176.45,149.15,286.39,450.86,461.28,220.11,36.2,49.1,85.8,167,309,463.2,536,643,0.72,0.89,0.04,336.56,443.43,0.75,202.6,126.35,1,0.93,-2.56,-2.21,0.03,3,0.97,25583.17,0.13,0.32,0
ADHI_4,6.04,3.24,0.27,25.6,4.14,3.6,3.89,4.44,5.75,6.62,5.59,4.77,7.8,10.51,9.21,6.05,1.72,2.19,3.55,5.44,7.92,10.69,12,14.89,0.77,0.82,0.04,6.04,6.66,0.54,190.53,139.03,0.98,0.78,-1.54,-1.49,0.07,2,0.76,10.51,0.3,0.22,0
ADHI_5,305.41,411.2,0,3350,27.33,11.37,5.8,12.53,49.74,170.33,484.95,761.57,1011.28,615.65,150.98,47.11,0.95,2.34,16.85,89.5,501,883.5,1140,1709,0.6,0.67,0.06,691.7,685.05,1.35,130.22,49.14,0.94,0.82,-7.24,-2.42,0.18,2,1.85,169086.46,0.4,0.87,0
ADHI_6,1972.47,1679.36,172,7520,803.63,595.79,564.53,655.02,932.63,1279.71,1885.82,2651.94,4354.16,5382.05,3197.63,1285.62,451,531,706,1240,2790,4730,5660,6663.6,0.74,0.92,0.03,3793.15,4662.38,0.85,175.42,76.55,1,0.96,-2.82,-3.49,0.03,3,1.24,2820263.53,0.33,0.33,0
ADHI_7,785.54,649.78,53.79,3130,341.94,331.66,309.79,257.07,305.56,451.93,851.72,1332.86,1882.19,1847.35,966.88,471.33,149,205,327,470,1200,1889,2110,2533.4,0.75,0.9,0.03,1395.99,1645.24,0.83,145.38,78.38,1,0.95,-2.36,-3.43,0.04,1,1.13,422211.18,0.27,0.32,0
ADHI_8,1056.21,864.16,114,4230,443.21,370.82,359.38,366.55,486.27,694.36,1055.9,1475.78,2289.75,2677.86,1614.14,736.3,244,304,407,663,1520,2500,2900,3470,0.75,0.92,0.03,1832.36,2278.3,0.82,179.91,82.19,1,0.95,-2.8,-3.5,0.03,2,1.18,746765.61,0.24,0.32,0
ADHI_9,970.21,816.8,71.9,3710,419.58,334.62,298.37,297.38,402.34,594.96,1005.32,1448.75,2263.6,2510.74,1409.43,644.42,190,252,374,580,1430,2370,2670,3150,0.75,0.91,0.03,1816.82,2213.11,0.84,152.77,77.6,1,0.96,-2.78,-3.57,0.03,3,1.13,667161.01,0.24,0.33,0
ADHI_10,2047.23,1672.34,0,7590,771.57,550.95,529.08,605.99,926.4,1357.06,2010.96,2841.64,4226.19,5272.85,3185.31,1392.36,347,494.9,708,1380,3080,4681,5410,6590,0.75,0.92,0.04,3716.75,4552.47,0.82,163.95,77.9,1,0.95,-3.24,-3.21,0.03,2,1.02,2796722.22,0.31,0.34,0
ADHI_11,372.21,308.61,10.39,1040,632.63,426.58,127.15,42.25,77.85,143.61,272.44,460.15,599.55,607.27,545.38,634.28,28.2,38.2,81.8,296,631,858.7,918,1030,0.75,0.92,0.05,617.83,703.33,0.83,159.06,85.11,1,0.96,-4.08,-2.54,0.03,3,0.54,95241.02,0.26,0.48,0
ADHI_12,360.37,341.62,0,1810,160.86,279.58,287.34,174.85,130.08,190.49,382.05,658.86,967.79,778.2,216.31,117.29,47.36,74.19,148,267,479,945.3,1150,1426.8,0.65,0.85,0.09,649.11,827,0.95,229.81,123.63,0.99,0.87,-2.28,-2.97,0.05,3,1.45,116705.63,0.22,0.39,0.05
ADHI_13,709.15,622.35,28.2,3240,222.44,146.21,129.41,203.91,321.38,489.26,807.49,1058.79,1556.78,1877.93,1102.66,418.44,91.9,123,205,453,1120,1680,1960,2420,0.74,0.88,0.03,1408.42,1620.57,0.88,173.69,80.03,1,0.95,-3.68,-2.7,0.05,2,1.03,387324.08,0.33,0.4,0
ADHI_14,331.56,322.93,6.48,1600,67.51,28.48,27.54,66.59,134.77,243.39,454.5,633.35,820.34,835.01,415.08,146.15,15.52,24.5,63.2,193,573,824.2,949.7,1220,0.71,0.83,0.04,698.53,728.93,0.97,164.93,76.13,0.99,0.92,-4.44,-2.25,0.07,3,0.98,104282.09,0.35,0.53,0
ADHI_15,1.99,1.89,0,23.7,1.11,0.81,1.01,1.32,2.05,1.95,1.38,1.36,2.79,5,3.12,1.62,0.38,0.52,0.87,1.51,2.4,3.93,5.33,10.09,0.64,0.62,0.06,2.58,2.85,0.95,202.64,123.79,0.95,0.61,-1.89,-2.46,0.15,2,3.38,3.58,0.33,0.28,0
ADHI_16,37.36,47.34,0.24,274,7.74,3.94,5.94,10.76,22.32,30.26,25.9,35.77,72.42,136.87,83.53,23.36,1.35,2.3,6.17,16.79,52.09,98.8,132,240.07,0.59,0.68,0.07,86.64,95.51,1.27,203.83,75.08,0.99,0.89,-4.26,-4.29,0.06,2,2.22,2241.4,0.19,0.54,0
ADHI_17,17.68,13.62,1.75,114,10.31,7.63,8.43,9.97,14.59,17.06,12.63,12.2,24.45,42.66,32.94,16.34,4.63,5.65,8.3,13.3,22.2,36.7,45,67.68,0.7,0.78,0.04,26.46,32.13,0.77,211.36,121.07,0.99,0.84,-1.95,-2.33,0.07,2,1.92,185.62,0.28,0.26,0
ADHI_18,104.42,108.11,1.37,528,30.83,15.89,8.1,17.44,37.51,75.72,156.44,223.04,277.09,269.78,109.59,47.23,3.98,6.73,19.29,56.09,174,270,329,416,0.68,0.76,0.03,220.62,217.95,1.04,166.5,72.94,0.99,0.88,-4.48,-2.38,0.09,2,1.15,11688.62,0.33,0.54,0
ADHI_19,104.6,83.2,4.98,404,52.84,45.26,41.75,49.18,47.29,61.54,112.35,155.16,206.38,239.94,160.57,71.96,14.19,18.5,31.6,78.09,166,226,260,321,0.75,0.94,0.03,170.58,205.61,0.8,181.54,101,1,0.96,-3.66,-2.6,0.03,1,0.79,6923.05,0.2,0.39,0
ADHI_20,7.13,6.6,0.22,40.5,2.54,1.57,1.67,2.28,2.76,3.84,7.06,10.64,17.24,18.37,9.87,4.36,0.96,1.25,2.15,4.4,10.6,16.48,21.29,27.79,0.7,0.83,0.04,13.82,16.75,0.93,176.75,70.5,0.99,0.92,-3.25,-3.18,0.07,3,1.35,43.52,0.44,0.38,0
ADHI_21,9.94,8.92,0.41,51.79,3.85,2.45,2.49,3.82,4.38,6.02,10.07,14.45,22.72,26.07,15.57,6.95,1.32,1.8,3.13,6.3,14.8,23.7,28.1,36.29,0.72,0.86,0.03,19.29,23.53,0.9,181.73,73.2,0.99,0.94,-3.16,-3.28,0.06,3,1.26,79.62,0.39,0.38,0
ADHI_22,377.52,392.26,5.63,2290,50.87,31.78,73.25,116,206.22,402.32,704.77,885.51,919.05,652.12,260.07,102.84,22.2,32.26,74.45,212,605.5,946,1190,1610,0.66,0.66,0.05,703,678.25,1.04,172.07,74,0.93,0.82,-4.07,-3.24,0.19,1,1.38,153868.71,0.51,0.5,0
ADHI_23,541.05,625.53,22.39,3960,66.38,59.7,80.18,127.71,268.27,530.53,945.38,1452.5,1439.93,1032.28,364.62,133.96,42.2,51.5,87.09,264,828,1410,1790,2870.6,0.65,0.65,0.03,1080.08,927.94,1.16,175.31,66.62,0.93,0.78,-4.69,-3.48,0.19,2,1.82,391290.92,0.48,0.51,0
ADHI_24,145.89,111.31,3.48,406,30.63,26.16,55.37,77.85,129,210.22,210.12,236.1,266.71,255.99,158.59,67.61,15.17,23,46.79,122,223,326,357,387,0.72,0.73,0.05,207.06,206.47,0.76,166.92,108.5,0.97,0.86,-3.47,-2.07,0.11,3,0.61,12389.51,0.49,0.39,0
ADHI_25,6.72,6.81,0.1,37.7,2.5,1.62,3.58,6.34,7.77,8.53,4.13,2.28,7.09,15.76,15.13,5.19,0.31,0.6,1.47,4.28,10.1,16.5,21.39,28.6,0.57,0.61,0.16,10.54,12.06,1.01,202.73,138.91,0.97,0.76,-3.65,-3.25,0.14,2,1.41,46.42,0.35,0.49,0
ADHI_26,94.96,64.98,2.02,372,77.38,32.56,22.74,37.02,61.27,85.69,95.18,83.57,86.9,165.89,220.16,148.76,13.56,19.6,45.5,82.09,129,191,222.4,276,0.76,0.98,0.03,157.76,209.19,0.68,183.91,110.3,1,0.97,-1.98,-2.61,0.02,3,0.92,4222.76,0.11,0.31,0
ADHI_27,429.41,295.91,29.7,1670,240.81,136.43,160.08,276.34,408.74,468.51,354.91,294.34,579.35,933.9,882.09,485.72,88.09,122,201,348,595,872,1040,1270,0.74,0.88,0.03,689.2,840.16,0.69,205.83,126.28,0.99,0.92,-2.04,-2.16,0.06,2,1.04,87560.56,0.38,0.28,0
