ID,Country,Latitude,Longitude,geometry,Koppen
ADHI_1,Cameroon,7.55,13.95,POINT (13.95 7.55),3.0
ADHI_2,Cameroon,4.2,14.6833,POINT (14.6833 4.2),3.0
ADHI_3,Cameroon,2.8,13.35,POINT (13.35 2.8),2.0
ADHI_4,Cameroon,4.2333,13.45,POINT (13.45 4.2333),3.0
ADHI_5,Cameroon,8.65,12.8167,POINT (12.8167 8.65),3.0
ADHI_6,Cameroon,3.7667,10.0667,POINT (10.0667 3.7667),2.0
ADHI_7,Cameroon,5.227083333,13.36458333,POINT (13.36458333 5.227083333),3.0
ADHI_8,Cameroon,4.35,11.6333,POINT (11.6333 4.35),3.0
ADHI_9,Cameroon,4.7,12.3833,POINT (12.3833 4.7),3.0
ADHI_10,Cameroon,4.0333,10.55,POINT (10.55 4.0333),2.0
ADHI_11,Cameroon,6.5833,13.2,POINT (13.2 6.5833),3.0
ADHI_12,Cameroon,6.3333,12.8168,POINT (12.8168 6.3333),3.0
ADHI_13,Cameroon,4.5667,11.3667,POINT (11.3667 4.5667),3.0
ADHI_14,Cameroon,5.6167,11.1833,POINT (11.1833 5.6167),3.0
ADHI_15,Cameroon,4.5833,12.2333,POINT (12.2333 4.5833),3.0
ADHI_16,Cameroon,4.8,12.0,POINT (12 4.8),3.0
ADHI_17,Cameroon,4.6333,12.2833,POINT (12.2833 4.6333),3.0
ADHI_18,Cameroon,6.509158,12.601583,POINT (12.601583 6.509158),3.0
ADHI_19,Cameroon,5.4667,10.55,POINT (10.55 5.4667),3.0
ADHI_20,Cameroon,5.4833,10.2833,POINT (10.2833 5.4833),3.0
ADHI_21,Cameroon,5.3667,10.3333,POINT (10.3333 5.3667),3.0
ADHI_22,Cameroon,5.7167,9.5,POINT (9.5 5.7167),2.0
ADHI_23,Cameroon,5.75,9.3167,POINT (9.3167 5.75),2.0
ADHI_24,Cameroon,5.7667,9.0667,POINT (9.0667 5.7667),2.0
ADHI_25,Cameroon,2.8333,11.15,POINT (11.15 2.8333),2.0
ADHI_26,Cameroon,3.7833,12.25,POINT (12.25 3.7833),3.0
ADHI_27,Cameroon,3.5667,10.1167,POINT (10.1167 3.5667),2.0
ADHI_28,Cameroon,3.564583333,10.70625,POINT (10.70625 3.564583333),2.0
ADHI_29,Cameroon,3.485641869,10.98541667,POINT (10.98541667 3.485641869),2.0
ADHI_30,Nigeria,12.39874065,14.19292602,POINT (14.19292602 12.39874065),6.0
ADHI_31,Nigeria,12.46332033,14.18125,POINT (14.18125 12.46332033),6.0
ADHI_32,Cameroon,12.15138635,14.70694698,POINT (14.70694698 12.15138635),6.0
ADHI_33,Cameroon,4.4667,9.9667,POINT (9.9667 4.4667),2.0
ADHI_34,Cameroon,5.148400766,10.00256743,POINT (10.00256743 5.148400766),3.0
ADHI_35,Central African Republic,9.0167,19.15,POINT (19.15 9.0167),3.0
ADHI_36,Central African Republic,7.0,19.1833,POINT (19.1833 7),3.0
ADHI_37,Central African Republic,7.314490932,18.28532427,POINT (18.28532427 7.314490932),3.0
ADHI_38,Central African Republic,6.481001,17.074363,POINT (17.074363 6.481001),3.0
ADHI_39,Central African Republic,6.4667,17.45,POINT (17.45 6.4667),3.0
ADHI_40,Central African Republic,6.3333,16.35,POINT (16.35 6.3333),3.0
ADHI_41,Central African Republic,7.5667,20.1833,POINT (20.1833 7.5667),3.0
ADHI_42,Central African Republic,6.5,18.2667,POINT (18.2667 6.5),3.0
ADHI_43,Central African Republic,7.6333,16.9667,POINT (16.9667 7.6333),3.0
ADHI_44,Central African Republic,8.095710357,20.34178964,POINT (20.34178964 8.095710357),3.0
ADHI_45,Central African Republic,7.2,20.0167,POINT (20.0167 7.2),3.0
ADHI_46,Central African Republic,4.3,21.183,POINT (21.183 4.3),3.0
ADHI_47,Central African Republic,4.314766,21.178162,POINT (21.178162 4.314766),3.0
ADHI_48,Central African Republic,4.312997,21.186637,POINT (21.186637 4.312997),3.0
ADHI_49,Central African Republic,3.713833,18.587158,POINT (18.587158 3.713833),3.0
ADHI_50,Democratic Republic of the Congo,4.727745,22.818043,POINT (22.818043 4.727745),3.0
ADHI_51,Central African Republic,5.028726,25.147102,POINT (25.147102 5.028726),3.0
ADHI_52,Central African Republic,5.04457,21.201716,POINT (21.201716 5.04457),3.0
ADHI_53,Central African Republic,4.976987,23.931507,POINT (23.931507 4.976987),3.0
ADHI_54,Central African Republic,5.347216,25.752023,POINT (25.752023 5.347216),3.0
ADHI_55,Central African Republic,6.53671,21.998832,POINT (21.998832 6.53671),3.0
ADHI_56,Central African Republic,4.598378,21.915678,POINT (21.915678 4.598378),3.0
ADHI_57,Central African Republic,4.350388,17.074718,POINT (17.074718 4.350388),3.0
ADHI_58,Central African Republic,3.668567,18.298556,POINT (18.298556 3.668567),3.0
ADHI_59,Central African Republic,3.649188,18.094021,POINT (18.094021 3.649188),3.0
ADHI_60,Central African Republic,5.162803,16.620172,POINT (16.620172 5.162803),3.0
ADHI_61,Central African Republic,4.729364,22.677515,POINT (22.677515 4.729364),3.0
ADHI_62,Central African Republic,5.414017,26.487358,POINT (26.487358 5.414017),3.0
ADHI_63,Central African Republic,4.323721,18.511935,POINT (18.511935 4.323721),3.0
ADHI_64,Central African Republic,4.530737,18.468779,POINT (18.468779 4.530737),3.0
ADHI_65,Central African Republic,5.763147,20.661704,POINT (20.661704 5.763147),3.0
ADHI_66,Central African Republic,5.101047,24.488549,POINT (24.488549 5.101047),3.0
ADHI_67,Central African Republic,4.09596372,18.24986961,POINT (18.24986961 4.09596372),3.0
ADHI_68,Central African Republic,4.814583333,18.10386263,POINT (18.10386263 4.814583333),3.0
ADHI_69,Central African Republic,4.895465,18.022531,POINT (18.022531 4.895465),3.0
ADHI_70,Central African Republic,5.1533,18.865404,POINT (18.865404 5.1533),3.0
ADHI_71,Central African Republic,8.072588,22.400631,POINT (22.400631 8.072588),3.0
ADHI_72,Central African Republic,5.726495,19.081594,POINT (19.081594 5.726495),3.0
ADHI_73,Central African Republic,3.181621,16.113619,POINT (16.113619 3.181621),3.0
ADHI_74,Central African Republic,4.940269,15.859449,POINT (15.859449 4.940269),3.0
ADHI_75,Central African Republic,5.816167,15.188553,POINT (15.188553 5.816167),3.0
ADHI_76,Congo,-1.4833,15.0667,POINT (15.0667 -1.4833),2.0
ADHI_77,Congo,-1.264583333,16.14950645,POINT (16.14950645 -1.264583333),3.0
ADHI_78,Congo,-4.305,15.2297,POINT (15.2297 -4.305),3.0
ADHI_79,Congo,-4.283027996,15.21041667,POINT (15.21041667 -4.283027996),3.0
ADHI_80,Congo,-4.228425,15.125888,POINT (15.125888 -4.228425),3.0
ADHI_81,Congo,-4.20625,15.01287473,POINT (15.01287473 -4.20625),3.0
ADHI_82,Congo,-4.6,14.9333,POINT (14.9333 -4.6),3.0
ADHI_83,Congo,-4.5837,14.985,POINT (14.985 -4.5837),3.0
ADHI_84,Congo,-2.9167,15.6308,POINT (15.6308 -2.9167),3.0
ADHI_85,Congo,0.033500141,14.92933347,POINT (14.92933347 0.033500141),3.0
ADHI_86,Congo,0.00167,15.633,POINT (15.633 0.00167),3.0
ADHI_87,Congo,-0.0167,16.3667,POINT (16.3667 -0.0167),2.0
ADHI_88,Congo,-1.9,15.85,POINT (15.85 -1.9),2.0
ADHI_89,Congo,-1.2667,15.8667,POINT (15.8667 -1.2667),3.0
ADHI_90,Congo,-1.4,15.0667,POINT (15.0667 -1.4),2.0
ADHI_91,Congo,-0.5,15.9333,POINT (15.9333 -0.5),3.0
ADHI_92,Congo,0.360416667,15.41415286,POINT (15.41415286 0.360416667),2.0
ADHI_93,Congo,-0.7167,14.8667,POINT (14.8667 -0.7167),3.0
ADHI_94,Congo,-0.8908,15.1541,POINT (15.1541 -0.8908),3.0
ADHI_95,Congo,-0.6167,15.9,POINT (15.9 -0.6167),3.0
ADHI_96,Congo,1.6167,16.05,POINT (16.05 1.6167),2.0
ADHI_97,Cameroon,2.05,14.9167,POINT (14.9167 2.05),2.0
ADHI_98,Congo,-0.482793938,17.42291667,POINT (17.42291667 -0.482793938),2.0
ADHI_99,Congo,1.35,17.4833,POINT (17.4833 1.35),1.0
ADHI_100,Congo,-4.135586,12.065629,POINT (12.065629 -4.135586),3.0
ADHI_101,Congo,-3.561419,12.339764,POINT (12.339764 -3.561419),3.0
ADHI_102,Congo,-4.084453,12.13323,POINT (12.13323 -4.084453),3.0
ADHI_103,Congo,-4.164553,13.295696,POINT (13.295696 -4.164553),3.0
ADHI_104,Congo,-4.25,14.05,POINT (14.05 -4.25),3.0
ADHI_105,Congo,-3.660954,14.263684,POINT (14.263684 -3.660954),3.0
ADHI_106,Congo,-3.756063,13.645615,POINT (13.645615 -3.756063),3.0
ADHI_107,Congo,-3.881674,13.758144,POINT (13.758144 -3.881674),3.0
ADHI_108,Congo,-4.1333,13.071021,POINT (13.071021 -4.1333),3.0
ADHI_109,Congo,-2.619187588,12.76085425,POINT (12.76085425 -2.619187588),3.0
ADHI_110,Congo,-3.425711,12.657829,POINT (12.657829 -3.425711),3.0
ADHI_111,Congo,-3.1667,13.0833,POINT (13.0833 -3.1667),3.0
ADHI_112,Congo,-2.866667,11.966667,POINT (11.966667 -2.866667),3.0
ADHI_113,Democratic Republic of the Congo,-4.2958,15.3083,POINT (15.3083 -4.2958),3.0
ADHI_114,Cote d'Ivoire,9.312553,-5.363917,POINT (-5.363917 9.312553),3.0
ADHI_115,Cote d'Ivoire,6.02063361,-4.914583333,POINT (-4.914583333 6.02063361),3.0
ADHI_116,Cote d'Ivoire,6.9119,-5.5272,POINT (-5.5272 6.9119),3.0
ADHI_117,Cote d'Ivoire,5.931167078,-4.810416667,POINT (-4.810416667 5.931167078),3.0
ADHI_118,Cote d'Ivoire,9.6031,-5.3264,POINT (-5.3264 9.6031),3.0
ADHI_119,Cote d'Ivoire,6.5056,-5.3053,POINT (-5.3053 6.5056),3.0
